package,module,source,output,reference,generic_before,generic_after,renamed_symbols,syntax_ok,bytecode_equal,encoding_ok,newline_ok,mode
core,mir2.cfg.piaoxue,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\core_dec_还原\mir2.cfg.piaoxue,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\core\mir2.cfg.piaoxue.lua,,47,0,12,True,True,True,True,function-local-readable+method-sugar
core,mir2.scenes.main.common.AlertBar,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\core_dec_还原\mir2.scenes.main.common.AlertBar,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\core\mir2.scenes.main.common.AlertBar.lua,,176,0,40,True,True,True,True,function-local-readable+method-sugar
core,mir2.scenes.main.common.attrTips,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\core_dec_还原\mir2.scenes.main.common.attrTips,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\core\mir2.scenes.main.common.attrTips.lua,,52,0,12,True,True,True,True,function-local-readable+method-sugar
core,mir2.scenes.main.common.autoFindPath,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\core_dec_还原\mir2.scenes.main.common.autoFindPath,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\core\mir2.scenes.main.common.autoFindPath.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.common.autoFindPath.lua,821,0,205,True,True,True,True,function-local-readable+method-sugar
core,mir2.scenes.main.common.centerTopTip,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\core_dec_还原\mir2.scenes.main.common.centerTopTip,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\core\mir2.scenes.main.common.centerTopTip.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.common.centerTopTip.lua,118,0,25,True,True,True,True,function-local-readable+method-sugar
core,mir2.scenes.main.common.common,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\core_dec_还原\mir2.scenes.main.common.common,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\core\mir2.scenes.main.common.common.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.common.common.lua,0,0,0,True,True,True,True,function-local-readable+method-sugar
core,mir2.scenes.main.common.common_hk,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\core_dec_还原\mir2.scenes.main.common.common_hk,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\core\mir2.scenes.main.common.common_hk.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.common.common.lua,1414,0,317,True,True,True,True,function-local-readable+method-sugar
core,mir2.scenes.main.common.cusTipsBar,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\core_dec_还原\mir2.scenes.main.common.cusTipsBar,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\core\mir2.scenes.main.common.cusTipsBar.lua,,137,0,25,True,True,True,True,function-local-readable+method-sugar
core,mir2.scenes.main.common.dialogue,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\core_dec_还原\mir2.scenes.main.common.dialogue,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\core\mir2.scenes.main.common.dialogue.lua,,875,0,162,True,True,True,True,scoped-readable+method-sugar
core,mir2.scenes.main.common.extendUI,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\core_dec_还原\mir2.scenes.main.common.extendUI,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\core\mir2.scenes.main.common.extendUI.lua,,2807,0,583,True,True,True,True,scoped-readable+method-sugar
core,mir2.scenes.main.common.extendUINew,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\core_dec_还原\mir2.scenes.main.common.extendUINew,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\core\mir2.scenes.main.common.extendUINew.lua,,2621,0,529,True,True,True,True,scoped-readable+method-sugar
