prototype_id,function_name,parent_prototype_id,parent_function_name,prototype_depth,original_line_range,readable_line_range,parameters,vararg,stack_slots,instructions,constants,locals,upvalues,direct_child_functions,summary_equal,opcode_operand_stream_equal,constant_table_equal,local_pc_lifetimes_equal,upvalue_slot_graph_equal,original_instruction_sha256,readable_instruction_sha256,original_constant_sha256,readable_constant_sha256,runtime_coverage_key,dynamically_covered,strict_executable_checks_pass
P00,<chunk>,,,0,0:0,0:0,0,true,11,23,9,10,0,1,true,true,true,true,true,5712ad5c5bbe02f90545a91c48c726582526adfebaf0dd15eeec4e4baab7314b,5712ad5c5bbe02f90545a91c48c726582526adfebaf0dd15eeec4e4baab7314b,d29247dfb08e1e6ca074a55877f9de9a1f276ad2afd25d28f89a28fd0e0c4042,d29247dfb08e1e6ca074a55877f9de9a1f276ad2afd25d28f89a28fd0e0c4042,0:565,true,true
P01,startup_iife,P00,<chunk>,1,1:1,17:564,0,true,63,457,97,49,6,19,true,true,true,true,true,8c019545ba5b052a3acc253fc25fa33f9f5f8bb1d8a7697d357f78e817c025b2,8c019545ba5b052a3acc253fc25fa33f9f5f8bb1d8a7697d357f78e817c025b2,9ab42eab1a49bdeb28f870bba3f3141ab0187d7ce43780fa74553572ed253038,9ab42eab1a49bdeb28f870bba3f3141ab0187d7ce43780fa74553572ed253038,17:564,true,true
P02,key_fragment_rm,P01,startup_iife,2,1:1,55:57,0,false,2,3,1,0,0,0,true,true,true,true,true,f6e37f5ccbe4e9c9f68094082264bf110f23d0499014c14f36c8d0df8666b7be,f6e37f5ccbe4e9c9f68094082264bf110f23d0499014c14f36c8d0df8666b7be,dba04530a71b5991e885ada3a17200ef33442403908ac2a9b0e0955f769a349b,dba04530a71b5991e885ada3a17200ef33442403908ac2a9b0e0955f769a349b,55:57,true,true
P03,key_fragment_a,P01,startup_iife,2,1:1,60:62,0,false,2,3,1,0,0,0,true,true,true,true,true,f6e37f5ccbe4e9c9f68094082264bf110f23d0499014c14f36c8d0df8666b7be,f6e37f5ccbe4e9c9f68094082264bf110f23d0499014c14f36c8d0df8666b7be,798640599597df7a8daa32b1132f07850a68b5e71bd295650399a38074f52804,798640599597df7a8daa32b1132f07850a68b5e71bd295650399a38074f52804,60:62,true,true
P04,identity,P01,startup_iife,2,1:1,67:69,1,false,2,2,0,1,0,0,true,true,true,true,true,6170dd5c53487a9da625396a71e2521345b056bc6efd5640deff7fe4fc4c3948,6170dd5c53487a9da625396a71e2521345b056bc6efd5640deff7fe4fc4c3948,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,67:69,true,true
P05,decrypt_remote_content,P01,startup_iife,2,1:1,71:82,1,false,10,46,18,1,4,0,true,true,true,true,true,d410551d3b2a3389356534f94284c0a89de72f8f5e3535645fbe904b3bbeca0c,d410551d3b2a3389356534f94284c0a89de72f8f5e3535645fbe904b3bbeca0c,f0721b5b19703c19cc9ea138a38870cfd66e615d547bd4873a2da6196e181a88,f0721b5b19703c19cc9ea138a38870cfd66e615d547bd4873a2da6196e181a88,71:82,true,true
P06,write_file,P01,startup_iife,2,1:1,83:98,2,false,6,40,8,3,5,0,true,true,true,true,true,8ebcce73ef68767d9ab834631f283e3cd8708cbac62f9347faf2498964ce1043,8ebcce73ef68767d9ab834631f283e3cd8708cbac62f9347faf2498964ce1043,9b74cea6dad8c68d28a5349c2970c0623575302f8c79695f7b9504b17368181e,9b74cea6dad8c68d28a5349c2970c0623575302f8c79695f7b9504b17368181e,83:98,true,true
P07,execute_lua,P01,startup_iife,2,1:1,99:111,1,false,3,30,5,1,2,1,true,true,true,true,true,0ef4f89bc605c46446cd619eeafc7e23dfd052118267e4bd6831a2926bac9590,0ef4f89bc605c46446cd619eeafc7e23dfd052118267e4bd6831a2926bac9590,b3dc249d88203444464b0f6b4b8cb24ee557be829c22dfff2082907e7e7e24d8,b3dc249d88203444464b0f6b4b8cb24ee557be829c22dfff2082907e7e7e24d8,99:111,true,true
P08,execute_lua_callback,P07,execute_lua,3,1:1,105:107,0,false,2,6,1,0,2,0,true,true,true,true,true,62369bf2a1574da2e9fbc0a3a624940c03cc9b5fb990774c3a23cbda2e9e1bc3,62369bf2a1574da2e9fbc0a3a624940c03cc9b5fb990774c3a23cbda2e9e1bc3,a4fcee2b703ff09a146ff06f9a99aabb874e4d482fcc200979e073d0083bda5c,a4fcee2b703ff09a146ff06f9a99aabb874e4d482fcc200979e073d0083bda5c,105:107,true,true
P09,load_cached_code,P01,startup_iife,2,1:1,112:132,0,false,5,47,8,3,8,0,true,true,true,true,true,6801d8ddac0d3e875226a2fec28120c26b145b8521af0d435b3f9eb13dd465f7,6801d8ddac0d3e875226a2fec28120c26b145b8521af0d435b3f9eb13dd465f7,fb1c88dc1f513b604569ed1562d1ef5a16a5d71a1ec8d20fa188181dd7dc54ef,fb1c88dc1f513b604569ed1562d1ef5a16a5d71a1ec8d20fa188181dd7dc54ef,112:132,true,true
