use_index,owner_prototype_id,owner_function_name,binding_kind,resolved_binding_id,original_identifier,readable_identifier,original_location,readable_location,original_context,readable_context,context_equivalent,binding_equivalent
1,P00,<chunk>,local,P00:L003,d,false_value,1:59-1:60,11:24-11:35,unary_expression,unary_expression,true,true
2,P00,<chunk>,global,GLOBAL:_G,_G,_G,1:91-1:93,14:17-14:19,expression_list,expression_list,true,true
3,P00,<chunk>,global,GLOBAL:_ENV,_ENV,_ENV,1:102-1:106,15:28-15:32,expression_list,expression_list,true,true
4,P00,<chunk>,local,P00:L007,h,globals,1:115-1:116,16:19-16:26,index_expression,index_expression,true,true
5,P01,startup_iife,upvalue,P00:L007,h,globals,1:174-1:175,19:8-19:15,index_expression,index_expression,true,true
6,P01,startup_iife,upvalue,P00:L007,h,globals,1:266-1:267,20:9-20:16,index_expression,index_expression,true,true
7,P01,startup_iife,local,P01:L002,l,default_backup_url,1:4793-1:4794,45:32-45:50,expression_list,expression_list,true,true
8,P01,startup_iife,upvalue,P00:L009,j,to_number,1:4803-1:4804,46:30-46:39,function_call,function_call,true,true
9,P01,startup_iife,upvalue,P00:L009,j,to_number,1:4819-1:4820,47:30-47:39,function_call,function_call,true,true
10,P01,startup_iife,upvalue,P00:L007,h,globals,1:4835-1:4836,49:29-49:36,index_expression,index_expression,true,true
11,P01,startup_iife,upvalue,P00:L003,d,false_value,1:4953-1:4954,50:31-50:42,expression_list,expression_list,true,true
12,P01,startup_iife,upvalue,P00:L007,h,globals,1:4963-1:4964,51:22-51:29,index_expression,index_expression,true,true
13,P01,startup_iife,upvalue,P00:L007,h,globals,1:5004-1:5005,52:34-52:41,index_expression,index_expression,true,true
14,P01,startup_iife,upvalue,P00:L003,d,false_value,1:5057-1:5058,53:32-53:43,expression_list,expression_list,true,true
15,P01,startup_iife,upvalue,P00:L007,h,globals,1:5067-1:5068,54:21-54:28,index_expression,index_expression,true,true
16,P01,startup_iife,upvalue,P00:L007,h,globals,1:5180-1:5181,59:5-59:12,index_expression,index_expression,true,true
17,P01,startup_iife,upvalue,P00:L004,e,true_value,1:5238-1:5239,59:29-59:39,expression_list,expression_list,true,true
18,P01,startup_iife,local,P01:L008,r,cache_directory,1:5281-1:5282,63:29-63:44,binary_expression,binary_expression,true,true
19,P01,startup_iife,upvalue,P00:L007,h,globals,1:5284-1:5285,63:48-63:55,index_expression,index_expression,true,true
20,P01,startup_iife,upvalue,P00:L007,h,globals,1:5337-1:5338,63:70-63:77,index_expression,index_expression,true,true
21,P01,startup_iife,upvalue,P00:L007,h,globals,1:5419-1:5420,64:12-64:19,index_expression,index_expression,true,true
22,P01,startup_iife,local,P01:L008,r,cache_directory,1:5461-1:5462,64:30-64:45,arguments,arguments,true,true
23,P01,startup_iife,upvalue,P00:L007,h,globals,1:5468-1:5469,65:9-65:16,index_expression,index_expression,true,true
24,P01,startup_iife,upvalue,P00:L007,h,globals,1:5535-1:5536,65:34-65:41,index_expression,index_expression,true,true
25,P01,startup_iife,local,P01:L008,r,cache_directory,1:5578-1:5579,65:54-65:69,arguments,arguments,true,true
26,P04,identity,local,P04:L000,C,value,1:5610-1:5611,68:16-68:21,expression_list,expression_list,true,true
27,P05,decrypt_remote_content,upvalue,P01:L010,t,get_info,1:5638-1:5639,72:12-72:20,function_call,function_call,true,true
28,P05,decrypt_remote_content,upvalue,P00:L007,h,globals,1:5640-1:5641,72:21-72:28,index_expression,index_expression,true,true
29,P05,decrypt_remote_content,upvalue,P00:L007,h,globals,1:5764-1:5765,73:20-73:27,index_expression,index_expression,true,true
30,P05,decrypt_remote_content,upvalue,P00:L007,h,globals,1:5842-1:5843,74:17-74:24,index_expression,index_expression,true,true
31,P05,decrypt_remote_content,local,P05:L000,E,content,1:5927-1:5928,74:48-74:55,arguments,arguments,true,true
32,P05,decrypt_remote_content,upvalue,P00:L007,h,globals,1:5930-1:5931,75:17-75:24,index_expression,index_expression,true,true
33,P05,decrypt_remote_content,upvalue,P00:L007,h,globals,1:5968-1:5969,75:34-75:41,index_expression,index_expression,true,true
34,P05,decrypt_remote_content,upvalue,P00:L007,h,globals,1:6020-1:6021,76:24-76:31,index_expression,index_expression,true,true
35,P05,decrypt_remote_content,upvalue,P01:L016,z,key_fragment_a,1:6112-1:6113,76:62-76:76,function_call,function_call,true,true
36,P05,decrypt_remote_content,upvalue,P01:L014,x,key_fragment_rm,1:6125-1:6126,76:89-76:104,function_call,function_call,true,true
37,P05,decrypt_remote_content,upvalue,P00:L007,h,globals,1:6150-1:6151,77:24-77:31,index_expression,index_expression,true,true
38,P05,decrypt_remote_content,upvalue,P00:L007,h,globals,1:6217-1:6218,80:13-80:20,index_expression,index_expression,true,true
39,P06,write_file,upvalue,P01:L010,t,get_info,1:6308-1:6309,84:12-84:20,function_call,function_call,true,true
40,P06,write_file,upvalue,P00:L007,h,globals,1:6310-1:6311,84:21-84:28,index_expression,index_expression,true,true
41,P06,write_file,upvalue,P00:L007,h,globals,1:6387-1:6388,85:33-85:40,index_expression,index_expression,true,true
42,P06,write_file,local,P06:L000,G,file_path,1:6421-1:6422,85:49-85:58,arguments,arguments,true,true
43,P06,write_file,local,P06:L002,I,file_handle,1:6439-1:6440,86:16-86:27,if_statement,if_statement,true,true
44,P06,write_file,local,P06:L002,I,file_handle,1:6449-1:6450,87:20-87:31,index_expression,index_expression,true,true
45,P06,write_file,local,P06:L002,I,file_handle,1:6475-1:6476,87:38-87:49,arguments,arguments,true,true
46,P06,write_file,local,P06:L001,H,file_data,1:6477-1:6478,87:51-87:60,arguments,arguments,true,true
47,P06,write_file,upvalue,P00:L005,f,nil_value,1:6481-1:6482,87:65-87:74,binary_expression,binary_expression,true,true
48,P06,write_file,upvalue,P00:L003,d,false_value,1:6495-1:6496,88:28-88:39,expression_list,expression_list,true,true
49,P06,write_file,upvalue,P00:L007,h,globals,1:6501-1:6502,90:17-90:24,index_expression,index_expression,true,true
50,P06,write_file,local,P06:L002,I,file_handle,1:6538-1:6539,90:34-90:45,arguments,arguments,true,true
51,P06,write_file,upvalue,P00:L004,e,true_value,1:6547-1:6548,91:24-91:34,expression_list,expression_list,true,true
52,P06,write_file,upvalue,P00:L003,d,false_value,1:6561-1:6562,93:24-93:35,expression_list,expression_list,true,true
53,P06,write_file,upvalue,P00:L007,h,globals,1:6572-1:6573,96:13-96:20,index_expression,index_expression,true,true
54,P07,execute_lua,upvalue,P01:L010,t,get_info,1:6661-1:6662,100:12-100:20,function_call,function_call,true,true
55,P07,execute_lua,upvalue,P00:L007,h,globals,1:6663-1:6664,100:21-100:28,index_expression,index_expression,true,true
56,P07,execute_lua,upvalue,P00:L007,h,globals,1:6718-1:6719,101:13-101:20,index_expression,index_expression,true,true
57,P07,execute_lua,upvalue,P01:L010,t,get_info,1:6791-1:6792,104:12-104:20,function_call,function_call,true,true
58,P07,execute_lua,upvalue,P00:L007,h,globals,1:6793-1:6794,104:21-104:28,index_expression,index_expression,true,true
59,P07,execute_lua,upvalue,P00:L007,h,globals,1:6852-1:6853,105:20-105:27,index_expression,index_expression,true,true
60,P08,execute_lua_callback,upvalue,P00:L007,h,globals,1:6886-1:6887,106:17-106:24,index_expression,index_expression,true,true
61,P08,execute_lua_callback,upvalue,P07:L000,K,lua_source,1:6907-1:6908,106:30-106:40,arguments,arguments,true,true
62,P07,execute_lua,upvalue,P00:L007,h,globals,1:6920-1:6921,109:13-109:20,index_expression,index_expression,true,true
63,P09,load_cached_code,upvalue,P00:L007,h,globals,1:7008-1:7009,113:12-113:19,index_expression,index_expression,true,true
64,P09,load_cached_code,upvalue,P00:L007,h,globals,1:7063-1:7064,116:12-116:19,index_expression,index_expression,true,true
65,P09,load_cached_code,upvalue,P01:L017,A,cache_file_base,1:7105-1:7106,116:30-116:45,binary_expression,binary_expression,true,true
66,P09,load_cached_code,upvalue,P00:L007,h,globals,1:7138-1:7139,117:33-117:40,index_expression,index_expression,true,true
67,P09,load_cached_code,upvalue,P01:L017,A,cache_file_base,1:7187-1:7188,117:53-117:68,binary_expression,binary_expression,true,true
68,P09,load_cached_code,local,P09:L000,M,cached_data,1:7210-1:7211,118:16-118:27,if_statement,if_statement,true,true
69,P09,load_cached_code,local,P09:L000,M,cached_data,1:7217-1:7218,119:17-119:28,variable_list,variable_list,true,true
70,P09,load_cached_code,upvalue,P01:L019,D,decrypt_remote_content,1:7219-1:7220,119:31-119:53,function_call,function_call,true,true
