prototype_id,function_name,pc,original_source_line,readable_source_line,original_opcode,readable_opcode,original_operands,readable_operands,original_listing_comment,readable_listing_comment,opcode_equal,operands_equal,semantic_instruction_equal
P00,<chunk>,1,1,7,LOADK,LOADK,0 -1,0 -1,17,17,true,true,true
P00,<chunk>,2,1,8,LOADK,LOADK,1 -2,1 -2,34,34,true,true,true
P00,<chunk>,3,1,9,LOADK,LOADK,2 -3,2 -3,23,23,true,true,true
P00,<chunk>,4,1,10,EQ,EQ,1 -4 -5,1 -4 -5,0 1,0 1,true,true,true
P00,<chunk>,5,1,10,JMP,JMP,1,1,to 7,to 7,true,true,true
P00,<chunk>,6,1,10,LOADBOOL,LOADBOOL,3 0 1,3 0 1,,,true,true,true
P00,<chunk>,7,1,10,LOADBOOL,LOADBOOL,3 1 0,3 1 0,,,true,true,true
P00,<chunk>,8,1,11,NOT,NOT,4 3,4 3,,,true,true,true
P00,<chunk>,9,1,12,LOADNIL,LOADNIL,5 5,5 5,,,true,true,true
P00,<chunk>,10,1,13,LOADK,LOADK,6 -6,6 -6,"""""","""""",true,true,true
P00,<chunk>,11,1,14,GETGLOBAL,GETGLOBAL,7 -7,7 -7,_G,_G,true,true,true
P00,<chunk>,12,1,15,GETGLOBAL,GETGLOBAL,8 -8,8 -8,_ENV,_ENV,true,true,true
P00,<chunk>,13,1,16,GETTABLE,GETTABLE,9 7 -9,9 7 -9,"""tonumber""","""tonumber""",true,true,true
P00,<chunk>,14,1,564,CLOSURE,CLOSURE,10 0,10 0,<function-address-omitted>,<function-address-omitted>,true,true,true
P00,<chunk>,15,1,564,MOVE,MOVE,0 7,0 7,,,true,true,true
P00,<chunk>,16,1,564,MOVE,MOVE,0 9,0 9,,,true,true,true
P00,<chunk>,17,1,564,MOVE,MOVE,0 3,0 3,,,true,true,true
P00,<chunk>,18,1,564,MOVE,MOVE,0 4,0 4,,,true,true,true
P00,<chunk>,19,1,564,MOVE,MOVE,0 5,0 5,,,true,true,true
P00,<chunk>,20,1,564,MOVE,MOVE,0 6,0 6,,,true,true,true
P00,<chunk>,21,1,564,TAILCALL,TAILCALL,10 1 0,10 1 0,,,true,true,true
P00,<chunk>,22,1,564,RETURN,RETURN,10 0,10 0,,,true,true,true
P00,<chunk>,23,1,564,RETURN,RETURN,0 1,0 1,,,true,true,true
P01,startup_iife,1,1,19,GETUPVAL,GETUPVAL,1 0,1 0,h,globals,true,true,true
P01,startup_iife,2,1,19,GETTABLE,GETTABLE,1 1 -1,1 1 -1,"""def""","""def""",true,true,true
P01,startup_iife,3,1,19,GETTABLE,GETTABLE,1 1 -2,1 1 -2,"""showUserAgreement""","""showUserAgreement""",true,true,true
P01,startup_iife,4,1,19,TEST,TEST,1 0 0,1 0 0,,,true,true,true
P01,startup_iife,5,1,19,JMP,JMP,2,2,to 8,to 8,true,true,true
P01,startup_iife,6,1,20,GETUPVAL,GETUPVAL,1 0,1 0,h,globals,true,true,true
