scope_id,scope_node_type,owner_node_type,parent_scope_id,function_depth,original_location,readable_location,direct_semantic_statement_count,direct_local_declaration_statement_count,direct_statement_types,parent_scope_equal,function_depth_equal,statement_sequence_equal,scope_structure_equal
S000,chunk,<root>,,0,1:1-1:23697,1:1-565:1,11,10,variable_declaration | variable_declaration | variable_declaration | variable_declaration | variable_declaration | variable_declaration | variable_declaration | variable_declaration | variable_declaration | variable_declaration | return_statement,true,true,true,true
S001,block,function_definition,S000,1,1:171-1:23691,19:5-563:27,61,43,if_statement | variable_declaration | variable_declaration | variable_declaration | variable_declaration | variable_declaration | variable_declaration | variable_declaration | variable_declaration | variable_declaration | variable_declaration | variable_declaration | variable_declaration | variable_declaration | function_declaration | variable_declaration | assignment_statement | function_declaration | variable_declaration | if_statement | function_declaration | function_declaration | function_declaration | function_declaration | function_declaration | function_declaration | function_declaration | function_declaration | function_declaration | function_declaration | variable_declaration | variable_declaration | function_declaration | function_declaration | variable_declaration | variable_declaration | variable_declaration | variable_declaration | if_statement | if_statement | if_statement | variable_declaration | if_statement | variable_declaration | function_call | function_call | function_call | if_statement | function_call | function_call | variable_declaration | assignment_statement | variable_declaration | variable_declaration | function_declaration | variable_declaration | variable_declaration | if_statement | function_call | function_call | function_call,true,true,true,true
S002,block,if_statement,S001,1,1:266-1:4038,20:9-33:8,1,0,assignment_statement,true,true,true,true
S003,block,function_declaration,S001,2,1:5127-1:5142,56:9-56:20,1,0,return_statement,true,true,true,true
S004,block,function_declaration,S001,2,1:5258-1:5269,61:9-61:19,1,0,return_statement,true,true,true,true
S005,block,if_statement,S001,1,1:5468-1:5580,65:9-65:70,1,0,function_call,true,true,true,true
S006,block,function_declaration,S001,2,1:5603-1:5611,68:9-68:21,1,0,return_statement,true,true,true,true
S007,block,function_declaration,S001,2,1:5635-1:6279,72:9-81:12,1,0,if_statement,true,true,true,true
S008,block,if_statement,S007,2,1:5757-1:6212,73:13-78:14,1,0,return_statement,true,true,true,true
S009,block,else_statement,S007,2,1:6217-1:6276,80:13-80:37,1,0,function_call,true,true,true,true
S010,block,function_declaration,S001,2,1:6305-1:6634,84:9-97:12,1,0,if_statement,true,true,true,true
S011,block,if_statement,S010,2,1:6379-1:6566,85:13-94:16,2,1,variable_declaration | if_statement,true,true,true,true
S012,block,if_statement,S011,2,1:6446-1:6548,87:17-91:34,3,0,if_statement | function_call | return_statement,true,true,true,true
S013,block,if_statement,S012,2,1:6488-1:6496,88:21-88:39,1,0,return_statement,true,true,true,true
S014,block,else_statement,S011,2,1:6554-1:6562,93:17-93:35,1,0,return_statement,true,true,true,true
S015,block,else_statement,S010,2,1:6572-1:6631,96:13-96:37,1,0,function_call,true,true,true,true
S016,block,function_declaration,S001,2,1:6658-1:6982,100:9-110:12,2,0,if_statement | if_statement,true,true,true,true
S017,block,if_statement,S016,2,1:6718-1:6783,101:13-102:19,2,0,function_call | return_statement,true,true,true,true
S018,block,if_statement,S016,2,1:6845-1:6915,105:13-107:17,1,0,return_statement,true,true,true,true
S019,block,function_definition,S018,3,1:6886-1:6911,106:17-106:43,1,0,function_call,true,true,true,true
S020,block,else_statement,S016,2,1:6920-1:6979,109:13-109:37,1,0,function_call,true,true,true,true
S021,block,function_declaration,S001,2,1:7005-1:7354,113:9-131:27,4,0,if_statement | if_statement | assignment_statement | return_statement,true,true,true,true
S022,block,if_statement,S021,2,1:7049-1:7055,114:13-114:19,1,0,return_statement,true,true,true,true
S023,block,if_statement,S021,2,1:7130-1:7317,117:13-128:16,2,1,variable_declaration | if_statement,true,true,true,true
S024,block,if_statement,S023,2,1:7217-1:7313,119:17-127:20,2,0,assignment_statement | if_statement,true,true,true,true
S025,block,if_statement,S024,2,1:7233-1:7309,121:21-126:24,2,1,variable_declaration | if_statement,true,true,true,true
S026,block,if_statement,S025,2,1:7257-1:7305,123:25-125:42,3,0,assignment_statement | function_call | return_statement,true,true,true,true
S027,block,function_declaration,S001,2,1:7377-1:7652,134:9-140:12,1,0,if_statement,true,true,true,true
S028,block,if_statement,S027,2,1:7530-1:7648,135:13-139:16,2,1,variable_declaration | if_statement,true,true,true,true
S029,block,if_statement,S028,2,1:7634-1:7644,137:17-138:23,2,0,assignment_statement | return_statement,true,true,true,true
