occurrence_id,kind,original_name,readable_name,static_name,original_location,readable_location,original_syntax,readable_syntax,kind_equal,name_equal,runtime_name_equivalent
1,field_access,tonumber,tonumber,true,1:115-1:151,16:19-16:35,"[""\116\111\110\117\109\98\101\114""]",.tonumber,true,true,true
2,field_access,showUserAgreement,showUserAgreement,true,1:174-1:261,19:8-19:37,"[""\115\104\111\119\85\115\101\114\65\103\114\101\101\109\101\110\116""]",.showUserAgreement,true,true,true
3,field_access,def,def,true,1:174-1:191,19:8-19:19,"[""\100\101\102""]",.def,true,true,true
4,field_access,argeementText,argeementText,true,1:266-1:321,20:9-20:30,"[""\97\114\103\101\101\109\101\110\116\84\101\120\116""]",.argeementText,true,true,true
5,field_access,writablePath,writablePath,true,1:4835-1:4911,49:29-49:56,"[""\119\114\105\116\97\98\108\101\80\97\116\104""]",.writablePath,true,true,true
6,field_access,device,device,true,1:4835-1:4863,49:29-49:43,"[""\100\101\118\105\99\101""]",.device,true,true,true
7,field_access,getinfo,getinfo,true,1:4963-1:4996,51:22-51:37,"[""\103\101\116\105\110\102\111""]",.getinfo,true,true,true
8,field_access,len,len,true,1:5004-1:5049,52:34-52:52,"[""\108\101\110""]",.len,true,true,true
9,field_access,string,string,true,1:5004-1:5033,52:34-52:48,"[""\115\116\114\105\110\103""]",.string,true,true,true
10,field_access,gateIP,gateIP,true,1:5067-1:5109,54:21-54:39,"[""\103\97\116\101\73\80""]",.gateIP,true,true,true
11,field_access,def,def,true,1:5067-1:5084,54:21-54:32,"[""\100\101\102""]",.def,true,true,true
12,field_access,open,open,true,1:5180-1:5237,59:5-59:26,"[""\111\112\101\110""]",.open,true,true,true
13,field_access,role,role,true,1:5180-1:5217,59:5-59:21,"[""\114\111\108\101""]",.role,true,true,true
14,field_access,def,def,true,1:5180-1:5197,59:5-59:16,"[""\100\101\102""]",.def,true,true,true
15,field_access,core_func_md5,core_func_md5,true,1:5284-1:5336,63:48-63:69,"[""\99\111\114\101\95\102\117\110\99\95\109\100\53""]",.core_func_md5,true,true,true
16,field_access,stuff,stuff,true,1:5337-1:5398,63:70-63:92,"[""\115\116\117\102\102""]",.stuff,true,true,true
17,field_access,role,role,true,1:5337-1:5374,63:70-63:86,"[""\114\111\108\101""]",.role,true,true,true
18,field_access,def,def,true,1:5337-1:5354,63:70-63:81,"[""\100\101\102""]",.def,true,true,true
19,field_access,exists,exists,true,1:5419-1:5460,64:12-64:29,"[""\101\120\105\115\116\115""]",.exists,true,true,true
20,field_access,io,io,true,1:5419-1:5432,64:12-64:22,"[""\105\111""]",.io,true,true,true
21,field_access,mkdir,mkdir,true,1:5468-1:5534,65:9-65:33,"[""\109\107\100\105\114""]",.mkdir,true,true,true
22,field_access,ycFunction,ycFunction,true,1:5468-1:5510,65:9-65:27,"[""\121\99\70\117\110\99\116\105\111\110""]",.ycFunction,true,true,true
23,field_access,ycFunction,ycFunction,true,1:5535-1:5577,65:34-65:52,"[""\121\99\70\117\110\99\116\105\111\110""]",.ycFunction,true,true,true
24,field_access,what,what,true,1:5638-1:5745,72:12-72:57,"[""\119\104\97\116""]",.what,true,true,true
25,field_access,decodeBase64,decodeBase64,true,1:5640-1:5725,72:21-72:51,"[""\100\101\99\111\100\101\66\97\115\101\54\52""]",.decodeBase64,true,true,true
26,field_access,Crypto,Crypto,true,1:5640-1:5678,72:21-72:38,"[""\67\114\121\112\116\111""]",.Crypto,true,true,true
27,field_access,cc,cc,true,1:5640-1:5651,72:21-72:31,"[""\99\99""]",.cc,true,true,true
28,field_access,core_func_decryptTEA,core_func_decryptTEA,true,1:5764-1:5841,73:20-73:48,"[""\99\111\114\101\95\102\117\110\99\95\100\101\99\114\121\112\116\84\69\65""]",.core_func_decryptTEA,true,true,true
29,field_access,core_func_decodeBase64,core_func_decodeBase64,true,1:5842-1:5926,74:17-74:47,"[""\99\111\114\101\95\102\117\110\99\95\100\101\99\111\100\101\66\97\115\101\54\52""]",.core_func_decodeBase64,true,true,true
30,field_access,tostring,tostring,true,1:5930-1:5967,75:17-75:33,"[""\116\111\115\116\114\105\110\103""]",.tostring,true,true,true
31,field_access,date,date,true,1:5968-1:6000,75:34-75:49,"[""\100\97\116\101""]",.date,true,true,true
32,field_access,os,os,true,1:5968-1:5981,75:34-75:44,"[""\111\115""]",.os,true,true,true
33,field_access,core_func_decodeBase64,core_func_decodeBase64,true,1:6020-1:6104,76:24-76:54,"[""\99\111\114\101\95\102\117\110\99\95\100\101\99\111\100\101\66\97\115\101\54\52""]",.core_func_decodeBase64,true,true,true
34,field_access,stuff,stuff,true,1:6150-1:6211,77:24-77:46,"[""\115\116\117\102\102""]",.stuff,true,true,true
35,field_access,role,role,true,1:6150-1:6187,77:24-77:40,"[""\114\111\108\101""]",.role,true,true,true
36,field_access,def,def,true,1:6150-1:6167,77:24-77:35,"[""\100\101\102""]",.def,true,true,true
37,field_access,core_func_exit,core_func_exit,true,1:6217-1:6274,80:13-80:35,"[""\99\111\114\101\95\102\117\110\99\95\101\120\105\116""]",.core_func_exit,true,true,true
38,field_access,what,what,true,1:6308-1:6367,84:12-84:43,"[""\119\104\97\116""]",.what,true,true,true
39,field_access,write,write,true,1:6310-1:6347,84:21-84:37,"[""\119\114\105\116\101""]",.write,true,true,true
40,field_access,io,io,true,1:6310-1:6323,84:21-84:31,"[""\105\111""]",.io,true,true,true
41,field_access,open,open,true,1:6387-1:6420,85:33-85:48,"[""\111\112\101\110""]",.open,true,true,true
42,field_access,io,io,true,1:6387-1:6400,85:33-85:43,"[""\105\111""]",.io,true,true,true
43,field_access,write,write,true,1:6449-1:6474,87:20-87:37,"[""\119\114\105\116\101""]",.write,true,true,true
44,field_access,close,close,true,1:6501-1:6537,90:17-90:33,"[""\99\108\111\115\101""]",.close,true,true,true
45,field_access,io,io,true,1:6501-1:6514,90:17-90:27,"[""\105\111""]",.io,true,true,true
46,field_access,core_func_exit,core_func_exit,true,1:6572-1:6629,96:13-96:35,"[""\99\111\114\101\95\102\117\110\99\95\101\120\105\116""]",.core_func_exit,true,true,true
47,field_access,what,what,true,1:6661-1:6706,100:12-100:40,"[""\119\104\97\116""]",.what,true,true,true
48,field_access,pcall,pcall,true,1:6663-1:6686,100:21-100:34,"[""\112\99\97\108\108""]",.pcall,true,true,true
49,field_access,core_func_exit,core_func_exit,true,1:6718-1:6775,101:13-101:35,"[""\99\111\114\101\95\102\117\110\99\95\101\120\105\116""]",.core_func_exit,true,true,true
50,field_access,what,what,true,1:6791-1:6833,104:12-104:39,"[""\119\104\97\116""]",.what,true,true,true
51,field_access,load,load,true,1:6793-1:6813,104:21-104:33,"[""\108\111\97\100""]",.load,true,true,true
52,field_access,pcall,pcall,true,1:6852-1:6875,105:20-105:33,"[""\112\99\97\108\108""]",.pcall,true,true,true
53,field_access,load,load,true,1:6886-1:6906,106:17-106:29,"[""\108\111\97\100""]",.load,true,true,true
54,field_access,core_func_exit,core_func_exit,true,1:6920-1:6977,109:13-109:35,"[""\99\111\114\101\95\102\117\110\99\95\101\120\105\116""]",.core_func_exit,true,true,true
55,field_access,isloaded,isloaded,true,1:7008-1:7044,113:12-113:28,"[""\105\115\108\111\97\100\101\100""]",.isloaded,true,true,true
56,field_access,exists,exists,true,1:7063-1:7104,116:12-116:29,"[""\101\120\105\115\116\115""]",.exists,true,true,true
57,field_access,io,io,true,1:7063-1:7076,116:12-116:22,"[""\105\111""]",.io,true,true,true
58,field_access,readfile,readfile,true,1:7138-1:7186,117:33-117:52,"[""\114\101\97\100\102\105\108\101""]",.readfile,true,true,true
59,field_access,io,io,true,1:7138-1:7151,117:33-117:43,"[""\105\111""]",.io,true,true,true
60,field_access,print,print,true,1:7261-1:7286,124:25-124:38,"[""\112\114\105\110\116""]",.print,true,true,true
