name,static_name,original_occurrences,readable_occurrences,original_kind_counts,readable_kind_counts,counts_equal
Crypto,true,2,2,"{""field_access"": 2}","{""field_access"": 2}",true
LuaLoadChunksFromZIP,true,2,2,"{""field_access"": 2}","{""field_access"": 2}",true
USE_ARM64,true,4,4,"{""field_access"": 4}","{""field_access"": 4}",true
an,true,1,1,"{""field_access"": 1}","{""field_access"": 1}",true
argeementText,true,1,1,"{""field_access"": 1}","{""field_access"": 1}",true
cc,true,4,4,"{""field_access"": 4}","{""field_access"": 4}",true
center,true,1,1,"{""table_key"": 1}","{""table_key"": 1}",true
char,true,1,1,"{""field_access"": 1}","{""field_access"": 1}",true
char_offset,true,2,2,"{""field_access"": 1, ""table_key"": 1}","{""field_access"": 1, ""table_key"": 1}",true
close,true,2,2,"{""field_access"": 1, ""table_key"": 1}","{""field_access"": 1, ""table_key"": 1}",true
content,true,9,9,"{""field_access"": 9}","{""field_access"": 9}",true
core_func_byby,true,3,3,"{""field_access"": 3}","{""field_access"": 3}",true
core_func_createNet,true,3,3,"{""field_access"": 3}","{""field_access"": 3}",true
core_func_decodeBase64,true,2,2,"{""field_access"": 2}","{""field_access"": 2}",true
core_func_decryptTEA,true,2,2,"{""field_access"": 2}","{""field_access"": 2}",true
core_func_exit,true,7,7,"{""field_access"": 7}","{""field_access"": 7}",true
core_func_md5,true,1,1,"{""field_access"": 1}","{""field_access"": 1}",true
core_func_writefile,true,4,4,"{""field_access"": 4}","{""field_access"": 4}",true
crypto,true,12,12,"{""field_access"": 12}","{""field_access"": 12}",true
date,true,1,1,"{""field_access"": 1}","{""field_access"": 1}",true
debugkey,true,23,23,"{""field_access"": 23}","{""field_access"": 23}",true
decode,true,3,3,"{""field_access"": 3}","{""field_access"": 3}",true
decodeBase64,true,4,4,"{""field_access"": 4}","{""field_access"": 4}",true
decryptXXTEA,true,1,1,"{""field_access"": 1}","{""field_access"": 1}",true
def,true,32,32,"{""field_access"": 32}","{""field_access"": 32}",true
device,true,5,5,"{""field_access"": 5}","{""field_access"": 5}",true
encodeBase64,true,6,6,"{""field_access"": 6}","{""field_access"": 6}",true
exists,true,10,10,"{""field_access"": 10}","{""field_access"": 10}",true
exit,true,1,1,"{""field_access"": 1}","{""field_access"": 1}",true
exp,true,1,1,"{""field_access"": 1}","{""field_access"": 1}",true
exp_factor,true,2,2,"{""field_access"": 1, ""table_key"": 1}","{""field_access"": 1, ""table_key"": 1}",true
floor,true,1,1,"{""field_access"": 1}","{""field_access"": 1}",true
format,true,4,4,"{""field_access"": 4}","{""field_access"": 4}",true
g_data,true,9,9,"{""field_access"": 9}","{""field_access"": 9}",true
gateIP,true,1,1,"{""field_access"": 1}","{""field_access"": 1}",true
getFileData,true,3,3,"{""field_access"": 3}","{""field_access"": 3}",true
getResponseData,true,3,3,"{""field_access"": 3}","{""field_access"": 3}",true
getResponseStatusCode,true,3,3,"{""field_access"": 3}","{""field_access"": 3}",true
getinfo,true,1,1,"{""field_access"": 1}","{""field_access"": 1}",true
gsub,true,2,2,"{""method_name"": 2}","{""method_name"": 2}",true
helperID,true,1,1,"{""field_access"": 1}","{""field_access"": 1}",true
io,true,19,19,"{""field_access"": 19}","{""field_access"": 19}",true
isloaded,true,4,4,"{""field_access"": 4}","{""field_access"": 4}",true
len,true,1,1,"{""field_access"": 1}","{""field_access"": 1}",true
load,true,2,2,"{""field_access"": 2}","{""field_access"": 2}",true
localLastSer,true,9,9,"{""field_access"": 9}","{""field_access"": 9}",true
login,true,9,9,"{""field_access"": 9}","{""field_access"": 9}",true
math,true,4,4,"{""field_access"": 4}","{""field_access"": 4}",true
md5,true,3,3,"{""field_access"": 3}","{""field_access"": 3}",true
mkdir,true,2,2,"{""field_access"": 2}","{""field_access"": 2}",true
name,true,8,8,"{""field_access"": 8}","{""field_access"": 8}",true
newMsgbox,true,1,1,"{""field_access"": 1}","{""field_access"": 1}",true
open,true,2,2,"{""field_access"": 2}","{""field_access"": 2}",true
os,true,6,6,"{""field_access"": 6}","{""field_access"": 6}",true
pcall,true,3,3,"{""field_access"": 3}","{""field_access"": 3}",true
performWithDelayGlobal,true,1,1,"{""field_access"": 1}","{""field_access"": 1}",true
phase_shift,true,2,2,"{""field_access"": 1, ""table_key"": 1}","{""field_access"": 1, ""table_key"": 1}",true
pi,true,1,1,"{""field_access"": 1}","{""field_access"": 1}",true
print,true,25,25,"{""field_access"": 25}","{""field_access"": 25}",true
readfile,true,6,6,"{""field_access"": 6}","{""field_access"": 6}",true
remove,true,1,1,"{""field_access"": 1}","{""field_access"": 1}",true
request,true,3,3,"{""field_access"": 3}","{""field_access"": 3}",true
require,true,3,3,"{""field_access"": 3}","{""field_access"": 3}",true
reverse,true,1,1,"{""field_access"": 1}","{""field_access"": 1}",true
role,true,7,7,"{""field_access"": 7}","{""field_access"": 7}",true
scheduler,true,1,1,"{""field_access"": 1}","{""field_access"": 1}",true
setPOSTData,true,3,3,"{""field_access"": 3}","{""field_access"": 3}",true
setTimeout,true,3,3,"{""field_access"": 3}","{""field_access"": 3}",true
set_helper,true,1,1,"{""field_access"": 1}","{""field_access"": 1}",true
showUserAgreement,true,1,1,"{""field_access"": 1}","{""field_access"": 1}",true
sqrt,true,1,1,"{""field_access"": 1}","{""field_access"": 1}",true
start,true,3,3,"{""field_access"": 3}","{""field_access"": 3}",true
string,true,7,7,"{""field_access"": 7}","{""field_access"": 7}",true
stuff,true,5,5,"{""field_access"": 5}","{""field_access"": 5}",true
time,true,3,3,"{""field_access"": 3}","{""field_access"": 3}",true
tonumber,true,1,1,"{""field_access"": 1}","{""field_access"": 1}",true
