prototype_id,function_name,parent_prototype_id,parent_function_name,upvalue_index,original_upvalue_name,readable_upvalue_name,capture_source_kind,capture_source_slot,capture_source_local_index,original_capture_source_name,readable_capture_source_name,closure_pc,binding_pc,binding_opcode,binding_operands,binding_instruction_equal,capture_name_consistent,capture_binding_equivalent
P01,startup_iife,P00,<chunk>,0,h,globals,parent_local_register,7,7,h,globals,14,15,MOVE,0 7,true,true,true
P01,startup_iife,P00,<chunk>,1,j,to_number,parent_local_register,9,9,j,to_number,14,16,MOVE,0 9,true,true,true
P01,startup_iife,P00,<chunk>,2,d,false_value,parent_local_register,3,3,d,false_value,14,17,MOVE,0 3,true,true,true
P01,startup_iife,P00,<chunk>,3,e,true_value,parent_local_register,4,4,e,true_value,14,18,MOVE,0 4,true,true,true
P01,startup_iife,P00,<chunk>,4,f,nil_value,parent_local_register,5,5,f,nil_value,14,19,MOVE,0 5,true,true,true
P01,startup_iife,P00,<chunk>,5,g,empty_string,parent_local_register,6,6,g,empty_string,14,20,MOVE,0 6,true,true,true
P05,decrypt_remote_content,P01,startup_iife,0,t,get_info,parent_local_register,10,10,t,get_info,83,84,MOVE,0 10,true,true,true
P05,decrypt_remote_content,P01,startup_iife,1,h,globals,parent_upvalue_slot,0,,h,globals,83,85,GETUPVAL,0 0,true,true,true
P05,decrypt_remote_content,P01,startup_iife,2,z,key_fragment_a,parent_local_register,16,16,z,key_fragment_a,83,86,MOVE,0 16,true,true,true
P05,decrypt_remote_content,P01,startup_iife,3,x,key_fragment_rm,parent_local_register,14,14,x,key_fragment_rm,83,87,MOVE,0 14,true,true,true
P06,write_file,P01,startup_iife,0,t,get_info,parent_local_register,10,10,t,get_info,88,89,MOVE,0 10,true,true,true
P06,write_file,P01,startup_iife,1,h,globals,parent_upvalue_slot,0,,h,globals,88,90,GETUPVAL,0 0,true,true,true
P06,write_file,P01,startup_iife,2,f,nil_value,parent_upvalue_slot,4,,f,nil_value,88,91,GETUPVAL,0 4,true,true,true
P06,write_file,P01,startup_iife,3,d,false_value,parent_upvalue_slot,2,,d,false_value,88,92,GETUPVAL,0 2,true,true,true
P06,write_file,P01,startup_iife,4,e,true_value,parent_upvalue_slot,3,,e,true_value,88,93,GETUPVAL,0 3,true,true,true
P07,execute_lua,P01,startup_iife,0,t,get_info,parent_local_register,10,10,t,get_info,94,95,MOVE,0 10,true,true,true
P07,execute_lua,P01,startup_iife,1,h,globals,parent_upvalue_slot,0,,h,globals,94,96,GETUPVAL,0 0,true,true,true
P08,execute_lua_callback,P07,execute_lua,0,h,globals,parent_upvalue_slot,1,,h,globals,21,22,GETUPVAL,0 1,true,true,true
P08,execute_lua_callback,P07,execute_lua,1,K,lua_source,parent_local_register,0,0,K,lua_source,21,23,MOVE,0 0,true,true,true
P09,load_cached_code,P01,startup_iife,0,h,globals,parent_upvalue_slot,0,,h,globals,97,98,GETUPVAL,0 0,true,true,true
P09,load_cached_code,P01,startup_iife,1,A,cache_file_base,parent_local_register,17,17,A,cache_file_base,97,99,MOVE,0 17,true,true,true
P09,load_cached_code,P01,startup_iife,2,D,decrypt_remote_content,parent_local_register,19,19,D,decrypt_remote_content,97,100,MOVE,0 19,true,true,true
P09,load_cached_code,P01,startup_iife,3,J,execute_lua,parent_local_register,21,21,J,execute_lua,97,101,MOVE,0 21,true,true,true
P09,load_cached_code,P01,startup_iife,4,v,cached_code_loaded,parent_local_register,12,12,v,cached_code_loaded,97,102,MOVE,0 12,true,true,true
P09,load_cached_code,P01,startup_iife,5,e,true_value,parent_upvalue_slot,3,,e,true_value,97,103,GETUPVAL,0 3,true,true,true
P09,load_cached_code,P01,startup_iife,6,y,local_version,parent_local_register,15,15,y,local_version,97,104,MOVE,0 15,true,true,true
P09,load_cached_code,P01,startup_iife,7,d,false_value,parent_upvalue_slot,2,,d,false_value,97,105,GETUPVAL,0 2,true,true,true
P10,load_cached_version,P01,startup_iife,0,h,globals,parent_upvalue_slot,0,,h,globals,106,107,GETUPVAL,0 0,true,true,true
P10,load_cached_version,P01,startup_iife,1,A,cache_file_base,parent_local_register,17,17,A,cache_file_base,106,108,MOVE,0 17,true,true,true
P10,load_cached_version,P01,startup_iife,2,y,local_version,parent_local_register,15,15,y,local_version,106,109,MOVE,0 15,true,true,true
P11,save_cached_version,P01,startup_iife,0,F,write_file,parent_local_register,20,20,F,write_file,110,111,MOVE,0 20,true,true,true
P11,save_cached_version,P01,startup_iife,1,A,cache_file_base,parent_local_register,17,17,A,cache_file_base,110,112,MOVE,0 17,true,true,true
P12,save_cached_content,P01,startup_iife,0,F,write_file,parent_local_register,20,20,F,write_file,113,114,MOVE,0 20,true,true,true
P12,save_cached_content,P01,startup_iife,1,A,cache_file_base,parent_local_register,17,17,A,cache_file_base,113,115,MOVE,0 17,true,true,true
P12,save_cached_content,P01,startup_iife,2,h,globals,parent_upvalue_slot,0,,h,globals,113,116,GETUPVAL,0 0,true,true,true
P13,request_backup_update,P01,startup_iife,0,q,backup_url_index,parent_local_register,7,7,q,backup_url_index,117,118,MOVE,0 7,true,true,true
P13,request_backup_update,P01,startup_iife,1,p,backup_url_count,parent_local_register,6,6,p,backup_url_count,117,119,MOVE,0 6,true,true,true
P13,request_backup_update,P01,startup_iife,2,o,current_update_url,parent_local_register,5,5,o,current_update_url,117,120,MOVE,0 5,true,true,true
P13,request_backup_update,P01,startup_iife,3,n,backup_update_urls,parent_local_register,4,4,n,backup_update_urls,117,121,MOVE,0 4,true,true,true
P13,request_backup_update,P01,startup_iife,4,j,to_number,parent_upvalue_slot,1,,j,to_number,117,122,GETUPVAL,0 1,true,true,true
