prototype_id,function_name,local_index,binding_id,declaration_kind,original_name,readable_name,original_scope_id,readable_scope_id,original_declaration_location,readable_declaration_location,start_pc,end_pc,pc_lifetime_length,original_same_name_count_in_function,readable_same_name_count_in_function,original_same_name_reused_in_same_function,readable_same_name_reused_in_same_function,participates_in_lexical_shadow_relation,shadows_binding,is_shadowed_by_binding,listing_name_matches_ast,declaration_kind_equal,scope_binding_equal,pc_lifetime_equal,binding_equivalent
P00,<chunk>,0,P00:L000,local,a,unused_number_17,S000,S000,1:7,7:7,2,23,21,1,1,false,false,false,false,false,true,true,true,true,true
P00,<chunk>,1,P00:L001,local,b,unused_number_34,S000,S000,1:18,8:7,3,23,20,1,1,false,false,false,false,false,true,true,true,true,true
P00,<chunk>,2,P00:L002,local,c,unused_number_23,S000,S000,1:29,9:7,4,23,19,1,1,false,false,false,false,false,true,true,true,true,true
P00,<chunk>,3,P00:L003,local,d,false_value,S000,S000,1:40,10:7,8,23,15,1,1,false,false,false,false,false,true,true,true,true,true
P00,<chunk>,4,P00:L004,local,e,true_value,S000,S000,1:53,11:7,9,23,14,1,1,false,false,false,false,false,true,true,true,true,true
P00,<chunk>,5,P00:L005,local,f,nil_value,S000,S000,1:67,12:7,10,23,13,1,1,false,false,false,false,false,true,true,true,true,true
P00,<chunk>,6,P00:L006,local,g,empty_string,S000,S000,1:79,13:7,11,23,12,1,1,false,false,false,false,false,true,true,true,true,true
P00,<chunk>,7,P00:L007,local,h,globals,S000,S000,1:89,14:7,12,23,11,1,1,false,false,false,false,false,true,true,true,true,true
P00,<chunk>,8,P00:L008,local,i,unused_environment,S000,S000,1:100,15:7,13,23,10,1,1,false,false,false,false,false,true,true,true,true,true
P00,<chunk>,9,P00:L009,local,j,to_number,S000,S000,1:113,16:7,14,23,9,1,1,false,false,false,false,false,true,true,true,true,true
P01,startup_iife,0,P01:L000,implicit_vararg,arg,arg,S001,S001,1:167,17:18,1,457,456,1,1,false,false,false,false,false,true,true,true,true,true
P01,startup_iife,1,P01:L001,local,k,primary_update_url,S001,S001,1:4048,36:11,9,457,448,1,1,false,false,false,false,false,true,true,true,true,true
P01,startup_iife,2,P01:L002,local,l,default_backup_url,S001,S001,1:4153,37:11,10,457,447,1,1,false,false,false,false,false,true,true,true,true,true
P01,startup_iife,3,P01:L003,local,m,unused_port_list,S001,S001,1:4274,38:11,20,457,437,1,1,false,false,false,false,false,true,true,true,true,true
P01,startup_iife,4,P01:L004,local,n,backup_update_urls,S001,S001,1:4355,39:11,26,457,431,1,1,false,false,false,false,false,true,true,true,true,true
P01,startup_iife,5,P01:L005,local,o,current_update_url,S001,S001,1:4791,45:11,27,457,430,1,1,false,false,false,false,false,true,true,true,true,true
P01,startup_iife,6,P01:L006,local,p,backup_url_count,S001,S001,1:4801,46:11,30,457,427,1,1,false,false,false,false,false,true,true,true,true,true
P01,startup_iife,7,P01:L007,local,q,backup_url_index,S001,S001,1:4817,47:11,33,457,424,1,1,false,false,false,false,false,true,true,true,true,true
P01,startup_iife,8,P01:L008,local,r,cache_directory,S001,S001,1:4833,49:11,38,457,419,1,1,false,false,false,false,false,true,true,true,true,true
P01,startup_iife,9,P01:L009,local,s,unused_false_flag,S001,S001,1:4951,50:11,39,457,418,1,1,false,false,false,false,false,true,true,true,true,true
P01,startup_iife,10,P01:L010,local,t,get_info,S001,S001,1:4961,51:11,41,457,416,1,1,false,false,false,false,false,true,true,true,true,true
P01,startup_iife,11,P01:L011,local,u,unused_string_length,S001,S001,1:5002,52:11,44,457,413,1,1,false,false,false,false,false,true,true,true,true,true
P01,startup_iife,12,P01:L012,local,v,cached_code_loaded,S001,S001,1:5055,53:11,45,457,412,1,1,false,false,false,false,false,true,true,true,true,true
P01,startup_iife,13,P01:L013,local,w,gate_ip,S001,S001,1:5065,54:11,48,457,409,1,1,false,false,false,false,false,true,true,true,true,true
